Average Case 
	 T(n)
3770	50.000000
3780	50.000000
3790	50.000000
3800	47.000000
3810	46.000000
3820	46.000000
3830	45.000000
3840	44.000000
3850	44.000000
3860	45.000000
3870	44.000000
3880	45.000000
3890	45.000000
3900	46.000000
3910	46.000000
3920	45.000000
3930	44.000000
3940	44.000000
3950	49.000000
3960	51.000000
3970	49.000000
3980	49.000000
3990	47.000000
4000	46.000000
4010	45.000000
4020	45.000000
4030	48.000000
4040	53.000000
4050	49.000000
4060	55.000000
4070	53.000000
4080	50.000000
4090	49.000000
4100	49.000000
4110	49.000000
4120	49.000000
4130	45.000000
4140	45.000000
4150	44.000000
4160	47.000000
4170	46.000000
4180	46.000000
4190	45.000000
4200	46.000000
4210	46.000000
4220	48.000000
4230	47.000000
4240	47.000000
4250	48.000000
4260	52.000000
4270	54.000000
4280	58.000000
4290	58.000000
4300	55.000000
4310	51.000000
4320	50.000000
4330	49.000000
4340	49.000000
4350	47.000000
4360	53.000000
4370	53.000000
4380	51.000000
4390	49.000000
4400	48.000000
4410	48.000000
4420	47.000000
4430	50.000000
4440	55.000000
4450	57.000000
4460	55.000000
4470	99.000000
4480	59.000000
4490	69.000000
4500	61.000000
4510	60.000000
4520	61.000000
4530	62.000000
4540	55.000000
4550	51.000000
4560	50.000000
4570	51.000000
4580	48.000000
4590	51.000000
4600	50.000000
4610	48.000000
4620	49.000000
4630	56.000000
4640	52.000000
4650	52.000000
4660	51.000000
4670	50.000000
4680	49.000000
4690	48.000000
4700	50.000000
4710	49.000000
4720	50.000000
4730	50.000000
4740	49.000000
4750	50.000000
4760	51.000000
4770	50.000000
4780	51.000000
4790	50.000000
4800	54.000000
4810	58.000000
4820	59.000000
4830	58.000000
4840	54.000000
4850	55.000000
4860	58.000000
4870	54.000000
4880	54.000000
4890	48.000000
4900	55.000000
4910	56.000000
4920	55.000000
4930	52.000000
4940	50.000000
4950	49.000000
4960	50.000000
4970	50.000000
4980	49.000000
4990	49.000000
5000	49.000000
5010	49.000000
5020	51.000000
5030	49.000000
5040	50.000000
5050	49.000000
5060	48.000000
5070	48.000000
5080	49.000000
5090	49.000000
5100	48.000000
5110	48.000000
5120	49.000000
5130	52.000000
5140	49.000000
5150	49.000000
5160	49.000000
5170	53.000000
5180	49.000000
5190	49.000000
5200	49.000000
5210	49.000000
5220	50.000000
5230	53.000000
5240	60.000000
5250	58.000000
5260	62.000000
5270	55.000000
5280	53.000000
5290	51.000000
5300	52.000000
5310	50.000000
5320	54.000000
5330	69.000000
5340	59.000000
5350	56.000000
5360	52.000000
5370	51.000000
5380	51.000000
5390	58.000000
5400	58.000000
5410	67.000000
5420	54.000000
5430	53.000000
5440	49.000000
5450	50.000000
5460	49.000000
5470	50.000000
5480	50.000000
5490	50.000000
5500	54.000000
5510	57.000000
5520	53.000000
5530	54.000000
5540	53.000000
5550	52.000000
5560	50.000000
5570	50.000000
5580	51.000000
5590	50.000000
5600	51.000000
5610	49.000000
5620	51.000000
5630	59.000000
5640	55.000000
5650	52.000000
5660	50.000000
5670	49.000000
5680	49.000000
5690	51.000000
5700	51.000000
5710	53.000000
5720	52.000000
5730	56.000000
5740	70.000000
5750	56.000000
5760	56.000000
5770	55.000000
5780	57.000000
5790	56.000000
5800	55.000000
5810	60.000000
5820	58.000000
5830	61.000000
5840	57.000000
5850	54.000000
5860	54.000000
5870	54.000000
5880	55.000000
5890	53.000000
5900	55.000000
5910	57.000000
5920	63.000000
5930	59.000000
5940	56.000000
5950	54.000000
5960	51.000000
5970	57.000000
5980	55.000000
5990	51.000000
6000	52.000000
6010	52.000000
6020	52.000000
6030	53.000000
6040	55.000000
6050	54.000000
6060	54.000000
6070	56.000000
6080	51.000000
6090	51.000000
6100	53.000000
6110	56.000000
6120	59.000000
6130	68.000000
6140	65.000000
6150	61.000000
6160	58.000000
6170	59.000000
6180	59.000000
6190	65.000000
6200	65.000000
6210	55.000000
6220	53.000000
6230	54.000000
6240	53.000000
6250	51.000000
6260	53.000000
6270	52.000000
6280	54.000000
6290	57.000000
6300	65.000000
6310	75.000000
6320	61.000000
6330	56.000000
6340	56.000000
6350	54.000000
6360	54.000000
6370	52.000000
6380	54.000000
6390	53.000000
6400	56.000000
6410	112.000000
6420	149.000000
6430	131.000000
6440	141.000000
6450	161.000000
6460	68.000000
6470	81.000000
6480	68.000000
6490	66.000000
6500	80.000000
6510	114.000000
6520	94.000000
6530	70.000000
6540	54.000000
6550	54.000000
6560	54.000000
6570	54.000000
6580	52.000000
6590	54.000000
6600	69.000000
6610	63.000000
6620	80.000000
6630	137.000000
6640	73.000000
6650	82.000000
6660	85.000000
6670	65.000000
6680	58.000000
6690	59.000000
6700	58.000000
6710	57.000000
6720	56.000000
6730	55.000000
6740	55.000000
6750	54.000000
6760	56.000000
6770	65.000000
6780	63.000000
6790	62.000000
6800	60.000000
6810	56.000000
6820	57.000000
6830	56.000000
6840	83.000000
